ID_V;ID_P;Zona;UPZ;Calle;Sur;Carrera;Estrato;Zonas_Comunes;Cercania_TM;Valorizacion;Cant_Viv_Proy;Conjunto_Cerrado;Deporte;Acceso_Discapacitados;Fecha_Entrega;Meses_Entrega;Casa_Apartamento;Cuartos;Banos;Parqueaderos;Balcon;Area_Privada;Area_Construida;Precio;Cuota_Inicial;Mens_Cuota_Inicial;Cuota_Credito;Tipo_Apartamento;Nombre_Proyecto;Constructora;Link
1;10001;1;13;146;0;13;4;3;2;2;2;1;1;1;1/09/2019; 12 ; 1 ;1;2;1;0;45.64;50.55;289;86.7;1.72; 2.05 ; 1 ;SMARTHOME 146;A.P. CONTRUCCIONES S.A.;http://www.metrocuadrado.com/proyecto/smarthome-146/5503-C00001-01?icid=resul_bus_caja3_smarthome-146
2;10001;1;13;146;0;13;4;3;2;2;2;1;1;1;1/09/2019; 12 ; 1 ;2;2;2;1;59.25;66.44;410;123;1.85; 2.91 ; 2 ;SMARTHOME 146;A.P. CONTRUCCIONES S.A.;http://www.metrocuadrado.com/proyecto/smarthome-146/5503-C00001-01?icid=resul_bus_caja3_smarthome-146
3;10001;1;13;146;0;13;4;3;2;2;2;1;1;1;1/09/2019; 12 ; 1 ;1;2;1;1;42.05;46.95;282;84.6;1.80; 2.00 ; 3 ;SMARTHOME 146;A.P. CONTRUCCIONES S.A.;http://www.metrocuadrado.com/proyecto/smarthome-146/5503-C00001-01?icid=resul_bus_caja3_smarthome-146
4;10001;1;13;146;0;13;4;3;2;2;2;1;1;1;1/09/2019; 12 ; 1 ;1;2;1;1;49.04;56.08;310;93;1.66; 2.20 ; 4 ;SMARTHOME 146;A.P. CONTRUCCIONES S.A.;http://www.metrocuadrado.com/proyecto/smarthome-146/5503-C00001-01?icid=resul_bus_caja3_smarthome-146
5;10001;1;13;146;0;13;4;3;2;2;2;1;1;1;1/09/2019; 12 ; 1 ;1;2;1;1;47;54.25;301;90.3;1.66; 2.14 ; 5 ;SMARTHOME 146;A.P. CONTRUCCIONES S.A.;http://www.metrocuadrado.com/proyecto/smarthome-146/5503-C00001-01?icid=resul_bus_caja3_smarthome-146
6;10001;1;13;146;0;13;4;3;2;2;2;1;1;1;1/09/2019; 12 ; 1 ;1;2;1;1;50.39;56.44;312;93.6;1.66; 2.22 ; 6 ;SMARTHOME 146;A.P. CONTRUCCIONES S.A.;http://www.metrocuadrado.com/proyecto/smarthome-146/5503-C00001-01?icid=resul_bus_caja3_smarthome-146
7;40001;4;75;17;2;110;3;3;2;2;3;1;1;1;1/03/2021; 30 ; 1 ;3;2;1;0;53.06;58.95;234.18;70.254;1.19; 1.66 ; 2 _1 ;ALTANA CONJUNTO RESIDENCIAL;PROURBANOS COLOMBIA S.A.S;http://www.metrocuadrado.com/proyecto/altana-conjunto-residencial/219-C0001-02
8;40001;4;75;17;0;110;3;3;2;2;3;1;1;1;1/03/2021; 30 ; 1 ;3;2;1;0;59.64;66.45;260.93;78.28;1.18; 1.85 ; 1_1 ;ALTANA CONJUNTO RESIDENCIAL;PROURBANOS COLOMBIA S.A.S;http://www.metrocuadrado.com/proyecto/altana-conjunto-residencial/219-C0001-02
9;40001;4;75;17;0;110;3;3;2;2;3;1;1;1;1/03/2021; 30 ; 1 ;1;1;0;0;30.35;34.43;130.51;39.15;1.14; 0.93 ; 1_2 ;ALTANA CONJUNTO RESIDENCIAL;PROURBANOS COLOMBIA S.A.S;http://www.metrocuadrado.com/proyecto/altana-conjunto-residencial/219-C0001-02
10;40001;4;75;17;0;110;3;3;2;2;3;1;1;1;1/03/2021; 30 ; 1 ;2;1;1;0;43.92;48.76;192.72;57.82;1.19; 1.37 ; 2_2 ;ALTANA CONJUNTO RESIDENCIAL;PROURBANOS COLOMBIA S.A.S;http://www.metrocuadrado.com/proyecto/altana-conjunto-residencial/219-C0001-02
11;30001;3;93;17;0;5;3;1;3;1;3;1;1;1;1/03/2021; 30 ; 1 ;1;1;0;0;26;28;149.95;44.99;1.61; 1.06 ; 1 ;TORRE VENTO;HABITUS CONSTRUCCIONES;http://www.metrocuadrado.com/proyecto/torre-ventto/801-C0001-01
12;30001;3;93;17;0;5;3;1;3;1;3;1;1;1;1/03/2021; 30 ; 1 ;1;1;0;0;28;26;166.15;49.85;1.92; 1.18 ; 2 ;TORRE VENTO;HABITUS CONSTRUCCIONES;http://www.metrocuadrado.com/proyecto/torre-ventto/801-C0001-01 
13;20001;2;27;150;0;96;3;1;3;2;2;1;0;0;14/09/2018; 0 ; 1 ;3;2;1;0;69;77;254.4;76.32;0.99; 1.81 ; 1 ;PALERMO;CUSEZAR;http://www.metrocuadrado.com/proyecto/palermo/1631-C00007-01 
14;30002;3;90;64;0;1;4;1;2;2;3;1;1;0;14/09/2018; 0 ; 1 ;1;2;1;1;46;51;377;113.1;2.22; 2.68 ; APARTAESTUDIO 51 ;it;CUSEZAR;http://www.metrocuadrado.com/proyecto/segal/1631-C00008-03
15;30002;3;90;64;0;1;4;1;2;2;3;1;1;0;14/09/2018; 0 ; 1 ;1;2;2;1;58;64;472;141.6;2.21; 3.35 ; DUPLEX 54 ;SEGAL;CUSEZAR;http://www.metrocuadrado.com/proyecto/segal/1631-C00008-03
16;30002;3;90;64;0;1;4;1;2;2;3;1;1;0;14/09/2018; 0 ; 1 ;3;2;2;1;96;103;837;251.1;2.44; 5.94 ; APARTAMENTO 103 ;SEGAL;CUSEZAR;http://www.metrocuadrado.com/proyecto/segal/1631-C00008-03
